Creation_Time,Sensor_Time,Arrival_Time,x,y,z
1454421744000,1454422,1398519803531,0.306454,-9.19362,-0.153227
1454432242000,1454432,1398519803542,0.153227,-9.346847,-0.153227
1454455557000,1454456,1398519803565,0.306454,-9.346847,-0.153227
1454481833000,1454482,1398519803591,0.153227,-9.346847,0.0
1454502249000,1454502,1398519803612,0.306454,-9.346847,-0.153227
1454561758000,1454562,1398519803671,0.306454,-9.346847,0.0
1454581778000,1454582,1398519803691,0.306454,-9.346847,-0.153227
1454592184000,1454596,1398519803706,0.306454,-9.19362,-0.153227
1454615347000,1454616,1398519803725,0.306454,-9.346847,-0.153227
1454662192000,1454663,1398519803772,0.306454,-9.19362,-0.153227
1454671805000,1454685,1398519803795,0.153227,-9.346847,-0.153227
1454691794000,1454692,1398519803801,0.306454,-9.346847,-0.153227
1454712057000,1454712,1398519803822,0.153227,-9.346847,-0.153227
1454721823000,1454732,1398519803841,0.153227,-9.19362,-0.306454
1454741263000,1454741,1398519803850,0.306454,-9.346847,-0.153227
1454772360000,1454772,1398519803882,0.153227,-9.346847,-0.153227
1454791281000,1454791,1398519803900,0.306454,-9.346847,-0.306454
1454801260000,1454801,1398519803910,0.153227,-9.346847,-0.153227
1454821249000,1454821,1398519803930,0.306454,-9.346847,-0.153227
1454872763000,1454872,1398519803982,0.153227,-9.346847,-0.153227
1454881552000,1454881,1398519803991,0.306454,-9.346847,-0.153227
1454901541000,1454901,1398519804011,0.153227,-9.346847,-0.153227
1454922934000,1454923,1398519804032,0.306454,-9.346847,-0.153227
1454931540000,1454931,1398519804041,0.306454,-9.346847,0.0
1454951529000,1454951,1398519804061,0.306454,-9.346847,-0.153227
1454982748000,1454983,1398519804092,0.306454,-9.19362,0.0
1455001700000,1455001,1398519804111,0.306454,-9.346847,-0.153227
1455032339000,1455032,1398519804142,0.153227,-9.346847,-0.153227
1455044821000,1455045,1398519804154,0.306454,-9.346847,-0.153227
1455092215000,1455093,1398519804202,0.153227,-9.500074,-0.153227
1455115530000,1455116,1398519804225,0.153227,-9.346847,-0.153227
1455133505000,1455134,1398519804244,0.306454,-9.346847,-0.153227
1455141745000,1455142,1398519804251,0.153227,-9.346847,-0.153227
1455162192000,1455162,1398519804272,0.153227,-9.500074,-0.153227
1455171866000,1455172,1398519804281,0.306454,-9.346847,0.0
1455191733000,1455192,1398519804301,0.153227,-9.346847,0.0
1455203360000,1455204,1398519804313,0.153227,-9.346847,-0.153227
1455213431000,1455213,1398519804323,0.306454,-9.346847,-0.153227
1455401724000,1455402,1398519804511,0.306454,-9.19362,-0.153227
1455419394000,1455419,1398519804529,0.306454,-9.346847,-0.153227
1455431784000,1455433,1398519804543,0.306454,-9.346847,0.0
1455451712000,1455452,1398519804561,0.306454,-9.346847,-0.153227
1455485312000,1455485,1398519804595,0.153227,-9.346847,-0.153227
1455501761000,1455503,1398519804613,0.306454,-9.346847,-0.153227
1455541739000,1455542,1398519804651,0.306454,-9.346847,-0.306454
1455561850000,1455562,1398519804671,0.306454,-9.19362,-0.153227
1455582358000,1455582,1398519804692,0.153227,-9.346847,0.0
1455591727000,1455592,1398519804701,0.306454,-9.346847,0.0
1455611716000,1455612,1398519804721,0.306454,-9.346847,-0.153227
1455625357000,1455626,1398519804735,0.153227,-9.19362,-0.153227
1455642722000,1455643,1398519804753,0.153227,-9.500074,-0.153227
1455661764000,1455662,1398519804771,0.153227,-9.346847,-0.153227
1455672140000,1455676,1398519804785,0.306454,-9.346847,-0.153227
1455715506000,1455716,1398519804825,0.153227,-9.346847,-0.153227
1455742178000,1455742,1398519804852,0.153227,-9.346847,-0.153227
1455751761000,1455752,1398519804861,0.306454,-9.346847,-0.153227
1455771719000,1455772,1398519804881,0.306454,-9.346847,0.0
1455785147000,1455786,1398519804895,0.306454,-9.500074,0.0
1455802603000,1455803,1398519804913,0.306454,-9.19362,-0.153227
1455821768000,1455822,1398519804931,0.306454,-9.346847,-0.153227
1455855154000,1455855,1398519804965,0.153227,-9.346847,-0.153227
1455871817000,1455873,1398519804983,0.306454,-9.19362,-0.153227
1455882284000,1455882,1398519804992,0.153227,-9.346847,-0.153227
1455902151000,1455906,1398519805015,0.153227,-9.346847,0.0
1455922598000,1455926,1398519805035,0.306454,-9.346847,-0.153227
1455931815000,1455932,1398519805041,0.153227,-9.346847,-0.153227
1455952231000,1455952,1398519805062,0.306454,-9.19362,-0.153227
1455961783000,1455962,1398519805071,0.306454,-9.346847,-0.153227
1456031851000,1456032,1398519805141,0.153227,-9.346847,0.0
1456042319000,1456046,1398519805156,0.306454,-9.500074,-0.153227
1456065420000,1456066,1398519805175,0.306454,-9.346847,0.0
1456083365000,1456084,1398519805193,0.306454,-9.346847,-0.153227
1456091757000,1456092,1398519805201,0.306454,-9.346847,-0.306454
1456112143000,1456112,1398519805222,0.306454,-9.346847,-0.153227
