Creation_Time,Sensor_Time,Arrival_Time,x,y,z
1398519803160702440,1821972,1398519803521,0.34342957,-9.594681,0.51704407
1398519803165920946,1821972,1398519803521,0.37913513,-9.630386,0.55870056
1398519803170010302,1821981,1398519803530,0.38032532,-9.641098,0.50157166
1398519803175259325,1821981,1398519803530,0.35057068,-9.641098,0.5408478
1398519803180996630,1821992,1398519803541,0.37199402,-9.570877,0.53608704
1398519803186215136,1821993,1398519803541,0.3731842,-9.653,0.51704407
1398519803190151903,1822001,1398519803549,0.33033752,-9.628006,0.55870056
1398519803195339891,1822001,1398519803550,0.37675476,-9.639908,0.52537537
1398519803201412890,1822013,1398519803561,0.36842346,-9.657761,0.48490906
1398519803206631395,1822013,1398519803561,0.33509827,-9.664902,0.6205902
1398519803210262987,1822021,1398519803570,0.3481903,-9.65657,0.55155945
1398519803215328905,1822022,1398519803570,0.33509827,-9.595871,0.51109314
1398519803221005175,1822032,1398519803581,0.33390808,-9.642288,0.5408478
1398519803226071093,1822032,1398519803581,0.28868103,-9.608963,0.5860748
1398519803230526659,1822042,1398519803591,0.36842346,-9.698227,0.5384674
1398519803236050341,1822043,1398519803591,0.35295105,-9.688705,0.49562073
1398519803240475390,1822048,1398519803596,0.37199402,-9.6506195,0.57774353
1398519803245480272,1822053,1398519803601,0.33747864,-9.639908,0.5658417
1398519803250637743,1822062,1398519803610,0.37080383,-9.667282,0.5134735
1398519803256039354,1822062,1398519803610,0.3493805,-9.642288,0.51704407
1398519803261196825,1822074,1398519803622,0.30415344,-9.638718,0.5289459
1398519803266110155,1822074,1398519803622,0.35176086,-9.675613,0.5634613
1398519803270718309,1822078,1398519803626,0.3577118,-9.65538,0.5122833
1398519803275723192,1822083,1398519803632,0.35057068,-9.653,0.5301361
1398519803280758593,1822088,1398519803636,0.34223938,-9.578018,0.50038147
1398519803285793993,1822093,1398519803642,0.35176086,-9.629196,0.503952
1398519803290829393,1822098,1398519803646,0.35533142,-9.633957,0.522995
1398519803295864794,1822103,1398519803652,0.3565216,-9.667282,0.45991516
1398519803300961229,1822112,1398519803660,0.3898468,-9.637527,0.53608704
1398519803306301806,1822112,1398519803661,0.40055847,-9.669662,0.53370667
1398519803311886522,1822123,1398519803672,0.3565216,-9.5863495,0.53489685
1398519803317105028,1822123,1398519803672,0.38865662,-9.625626,0.56941223
1398519803321041796,1822132,1398519803680,0.33390808,-9.620865,0.5063324
1398519803326260302,1822132,1398519803681,0.3493805,-9.679184,0.5063324
