Index,Arrival_Time,Creation_Time,x,y,z
264419,1425047658495,474742950726405,0.10336304,-9.945816,0.16522217
264420,1425047658501,474742955670253,0.08908081,-9.924393,0.10095215
264421,1425047658505,474742960644618,0.0652771,-9.983902,0.10809326
264422,1425047658510,474742965618983,0.08432007,-9.967239,0.093811035
264423,1425047658515,474742970562831,0.077178955,-9.983902,0.10571289
264424,1425047658520,474742975537196,0.07241821,-9.976761,0.1295166
264425,1425047658525,474742980511561,0.055755615,-9.998184,0.08666992
264426,1425047658530,474742985485926,0.11050415,-9.972,0.1628418
264427,1425047658535,474742990429774,0.079559326,-9.933914,0.07952881
264428,1425047658540,474742995404139,0.06765747,-10.007706,0.115234375
264429,1425047658545,474743000378505,0.08908081,-9.972,0.15332031
264430,1425047658550,474743005352870,0.0652771,-9.96962,0.091430664
264431,1425047658555,474743010296718,0.053375244,-9.938675,0.15808105
264432,1425047658560,474743015271083,0.10574341,-9.962479,0.14141846
264433,1425047658565,474743020245448,0.06765747,-9.983902,0.15332031
264434,1425047658570,474743025189296,0.079559326,-9.967239,0.13427734
264435,1425047658575,474743030163661,0.055755615,-9.976761,0.21520996
264436,1425047658580,474743035138026,0.0652771,-9.972,0.112854004
264437,1425047658585,474743040112391,0.11526489,-9.941055,0.13427734
264438,1425047658590,474743045056239,0.11288452,-9.986282,0.06762695
264439,1425047658595,474743050030604,0.04623413,-9.981522,0.11999512
264440,1425047658600,474743055004969,0.055755615,-9.931534,0.10571289
264441,1425047658605,474743059948817,0.08432007,-9.981522,0.09857178
264442,1425047658610,474743064923182,0.079559326,-9.952957,0.13903809
264443,1425047658615,474743069897548,0.07241821,-9.9743805,0.14141846
264444,1425047658620,474743074871913,0.08670044,-9.952957,0.07952881
264445,1425047658625,474743079815760,0.08908081,-9.979141,0.07952881
264446,1425047658630,474743084790126,0.07003784,-10.002945,0.09857178
264447,1425047658635,474743089764491,0.074798584,-9.96962,0.15570068
264448,1425047658639,474743094708339,0.13430786,-9.922012,0.13189697
264449,1425047658644,474743099682704,0.04623413,-9.960098,0.10809326
264450,1425047658650,474743104657069,0.08432007,-9.998184,0.14379883
264451,1425047658654,474743109631434,0.08670044,-9.943436,0.112854004
264452,1425047658659,474743114575282,0.100982666,-9.979141,0.12237549
264453,1425047658664,474743119549647,0.07241821,-9.972,0.13189697
264454,1425047658669,474743124524012,0.074798584,-9.998184,0.093811035
264455,1425047658674,474743129498378,0.048614502,-10.002945,0.117614746
264456,1425047658679,474743134442225,0.09146118,-9.983902,0.1295166
264457,1425047658684,474743139416591,0.13430786,-9.981522,0.15570068
264458,1425047658689,474743144390956,0.08908081,-9.976761,0.18426514
264459,1425047658694,474743149334803,0.077178955,-9.936295,0.17712402
264460,1425047658700,474743154309169,0.074798584,-9.988663,0.091430664
264461,1425047658704,474743159283534,0.0652771,-9.993423,0.08905029
264462,1425047658709,474743164257899,0.058135986,-10.024368,0.12475586
264463,1425047658714,474743169201747,0.11288452,-9.967239,0.09857178
264464,1425047658719,474743174176112,0.074798584,-9.983902,0.13665771
264465,1425047658724,474743179150477,0.09146118,-9.96962,0.17474365
264466,1425047658729,474743184124843,0.077178955,-9.967239,0.12237549
264467,1425047658734,474743189068690,0.07241821,-9.955338,0.17236328
264468,1425047658739,474743194043055,0.04147339,-9.960098,0.096191406
264469,1425047658744,474743199017421,0.07241821,-9.972,0.10095215
264470,1425047658749,474743203961268,0.06289673,-9.986282,0.091430664
264471,1425047658754,474743208935634,0.06289673,-9.988663,0.12237549
264472,1425047658759,474743213909999,0.09384155,-9.960098,0.15332031
264473,1425047658764,474743218884364,0.10336304,-9.960098,0.14379883
264474,1425047658769,474743223828212,0.100982666,-9.979141,0.06762695
264475,1425047658774,474743228802577,0.079559326,-10.007706,0.07476807
264476,1425047658779,474743233776942,0.058135986,-9.964859,0.10571289
264477,1425047658784,474743238812343,0.058135986,-9.995804,0.112854004
264478,1425047658789,474743243695155,0.0652771,-9.962479,0.12713623
264479,1425047658793,474743248669520,0.079559326,-9.960098,0.12237549
264480,1425047658798,474743253643885,0.09146118,-9.979141,0.14379883
264481,1425047658803,474743258587733,0.06289673,-9.962479,0.13903809
264482,1425047658809,474743263562098,0.031951904,-9.983902,0.091430664
264483,1425047658813,474743268536464,0.07003784,-9.993423,0.1295166
264484,1425047658819,474743273510829,0.077178955,-9.950577,0.1295166
264485,1425047658823,474743278454676,0.077178955,-9.941055,0.12475586
264486,1425047658828,474743283429042,0.055755615,-9.943436,0.14141846
264487,1425047658833,474743288403407,0.096221924,-9.945816,0.117614746
264488,1425047658838,474743293347255,0.050994873,-10.000565,0.07714844
264489,1425047658843,474743298321620,0.14382935,-9.952957,0.112854004
264490,1425047658848,474743303295985,0.060516357,-9.981522,0.10333252
264491,1425047658853,474743308239833,0.10336304,-10.002945,0.08905029
264492,1425047658858,474743313214198,0.08670044,-9.983902,0.117614746
264493,1425047658863,474743318188563,0.08908081,-9.991043,0.08190918
264494,1425047658868,474743323162928,0.08432007,-9.983902,0.15332031
264495,1425047658873,474743328106776,0.048614502,-9.972,0.117614746
264496,1425047658878,474743333081141,0.055755615,-9.967239,0.11047363
264497,1425047658883,474743338055507,0.0652771,-9.967239,0.117614746
264498,1425047658888,474743342999354,0.060516357,-9.979141,0.08428955
264499,1425047658893,474743347973719,0.04385376,-9.950577,0.15093994
264500,1425047658898,474743352948085,0.0819397,-9.976761,0.15570068
264501,1425047658903,474743357891932,0.06289673,-9.931534,0.15808105
264502,1425047658908,474743362866298,0.09146118,-9.950577,0.115234375
264503,1425047658912,474743367840663,0.077178955,-9.964859,0.096191406
264504,1425047658918,474743372815028,0.09384155,-9.972,0.10571289
264505,1425047658922,474743377758876,0.079559326,-9.952957,0.08905029
264506,1425047658928,474743382733241,0.08908081,-9.995804,0.13665771
264507,1425047658932,474743387707606,0.09146118,-9.979141,0.11047363
264508,1425047658938,474743392681971,0.048614502,-9.991043,0.17236328
264509,1425047658942,474743397625819,0.074798584,-9.9743805,0.117614746
264510,1425047658948,474743402600184,0.077178955,-9.938675,0.115234375
264511,1425047658952,474743407574550,0.055755615,-9.979141,0.06524658
264512,1425047658957,474743412518397,0.12716675,-9.962479,0.117614746
264513,1425047658962,474743417492762,0.08908081,-9.979141,0.12475586
264514,1425047658967,474743422467128,0.074798584,-9.988663,0.12475586
264515,1425047658972,474743427441493,0.04623413,-9.983902,0.11047363
264516,1425047658977,474743432385341,0.08432007,-9.967239,0.06048584
264517,1425047658982,474743437359706,0.077178955,-9.9743805,0.07952881
264518,1425047658987,474743442303553,0.077178955,-9.967239,0.12237549
264519,1425047658992,474743447277919,0.07241821,-9.960098,0.14855957
264520,1425047658997,474743452252284,0.11050415,-9.945816,0.13427734
264521,1425047659003,474743457226649,0.096221924,-9.993423,0.12475586
264522,1425047659006,474743462170497,0.0819397,-9.96962,0.12237549
264523,1425047659010,474743467144862,0.079559326,-9.962479,0.117614746
264524,1425047659015,474743472119227,0.0819397,-10.010086,0.1461792
264525,1425047659022,474743477063075,0.06289673,-9.976761,0.115234375
264526,1425047659027,474743482037440,0.060516357,-9.986282,0.08905029
264527,1425047659032,474743487042323,0.096221924,-9.919632,0.048583984
264528,1425047659037,474743491986171,0.060516357,-9.986282,0.08428955
264529,1425047659042,474743496960536,0.074798584,-9.955338,0.09857178
264530,1425047659047,474743501904384,0.0819397,-9.995804,0.15093994
264531,1425047659052,474743506878749,0.079559326,-9.960098,0.117614746
264532,1425047659057,474743511853114,0.098602295,-9.9743805,0.13189697
264533,1425047659062,474743516827479,0.058135986,-9.988663,0.091430664
264534,1425047659066,474743521771327,0.0819397,-9.926773,0.112854004
264535,1425047659072,474743526745692,0.053375244,-9.967239,0.10809326
264536,1425047659077,474743531720057,0.11764526,-9.9743805,0.17236328
264537,1425047659082,474743536663905,0.06765747,-10.012466,0.07952881
264538,1425047659087,474743541699305,0.10336304,-9.967239,0.13903809
