Creation_Time,Sensor_Time,Arrival_Time,x,y,z
1398519803356186477,2044759,1398519803517,0.14193726,-9.886749,0.5917511
1398519803361221877,2044764,1398519803522,0.14788818,-9.871277,0.51319885
1398519803366257278,2044769,1398519803527,0.16574097,-9.834381,0.49891663
1398519803371292678,2044774,1398519803532,0.19073486,-9.821289,0.59413147
1398519803376328079,2044779,1398519803537,0.17645264,-9.910553,0.53819275
1398519803381363479,2044784,1398519803542,0.16574097,-9.873657,0.48582458
1398519803386398879,2044789,1398519803547,0.16574097,-9.865326,0.54533386
1398519803391434280,2044794,1398519803552,0.10266113,-9.860565,0.4608307
1398519803396469680,2044798,1398519803557,0.18597412,-9.887939,0.60246277
1398519803401505080,2044803,1398519803561,0.14550781,-9.876038,0.5346222
1398519803406540481,2044809,1398519803567,0.1550293,-9.876038,0.51438904
1398519803411575881,2044814,1398519803572,0.18835449,-9.864136,0.51319885
1398519803416611282,2044819,1398519803577,0.1716919,-9.9010315,0.5810394
1398519803421646682,2044824,1398519803582,0.12527466,-9.9010315,0.5691376
1398519803426682082,2044829,1398519803588,0.15621948,-9.912933,0.565567
1398519803431717483,2044834,1398519803593,0.14788818,-9.924835,0.4846344
1398519803436752883,2044839,1398519803598,0.099090576,-9.89389,0.5167694
1398519803441788284,2044845,1398519803603,0.1217041,-9.862946,0.5084381
1398519803446823684,2044849,1398519803608,0.17645264,-9.887939,0.5679474
1398519803451859084,2044854,1398519803612,0.08956909,-9.9010315,0.5512848
1398519803456894485,2044859,1398519803617,0.15383911,-9.921265,0.47154236
1398519803461929885,2044865,1398519803623,0.14431763,-9.864136,0.52986145
1398519803466965286,2044869,1398519803627,0.1383667,-9.895081,0.52272034
1398519803472000686,2044875,1398519803633,0.16455078,-9.89151,0.5822296
1398519803477036086,2044880,1398519803638,0.115753174,-9.873657,0.4429779
1398519803482071487,2044885,1398519803643,0.18121338,-9.866516,0.5251007
1398519803487106887,2044890,1398519803648,0.15979004,-9.871277,0.5596161
1398519803492142287,2044895,1398519803653,0.09790039,-9.927216,0.56199646
1398519803497177688,2044899,1398519803657,0.14550781,-9.861755,0.51319885
1398519803502213088,2044904,1398519803663,0.13717651,-9.876038,0.52986145
1398519803507248489,2044909,1398519803668,0.120513916,-9.884369,0.56437683
1398519803512283889,2044915,1398519803673,0.15264893,-9.941498,0.56199646
1398519803517319289,2044919,1398519803678,0.11932373,-9.904602,0.5988922
1398519803522354690,2044925,1398519803683,0.11456299,-9.8927,0.47868347
1398519803527390090,2044930,1398519803688,0.146698,-9.8177185,0.48939514
1398519803532425491,2044935,1398519803693,0.109802246,-9.843903,0.5429535
1398519803537460891,2044940,1398519803698,0.14074707,-9.89032,0.49891663
1398519803542496291,2044945,1398519803703,0.14431763,-9.912933,0.52272034
1398519803547531692,2044951,1398519803709,0.13717651,-9.898651,0.48106384
1398519803552567092,2044955,1398519803713,0.15740967,-9.862946,0.55604553
1398519803557602493,2044960,1398519803718,0.16217041,-9.880798,0.55604553
1398519803562637893,2044965,1398519803724,0.18240356,-9.867706,0.59413147
1398519803567673293,2044970,1398519803728,0.13717651,-9.873657,0.5191498
1398519803572708694,2044975,1398519803734,0.1217041,-9.851044,0.5596161
1398519803577744094,2044980,1398519803739,0.16455078,-9.847473,0.5167694
1398519803582779495,2044985,1398519803744,0.1300354,-9.816528,0.552475
1398519803587814895,2044990,1398519803749,0.14312744,-9.856995,0.51200867
1398519803592850295,2044995,1398519803754,0.15145874,-9.909363,0.53819275
1398519803597885696,2045002,1398519803760,0.146698,-9.898651,0.5667572
1398519803602921096,2045005,1398519803763,0.14907837,-9.899841,0.52272034
1398519803607956496,2045010,1398519803768,0.120513916,-9.861755,0.5429535
1398519803612991897,2045016,1398519803774,0.13717651,-9.802246,0.5500946
1398519803618027297,2045021,1398519803780,0.12289429,-9.89151,0.5810394
1398519803623062698,2045024,1398519803782,0.2121582,-9.911743,0.4513092
1398519803628098098,2045030,1398519803789,0.12289429,-9.895081,0.5667572
1398519803633133498,2045036,1398519803794,0.15026855,-9.920074,0.50605774
1398519803638168899,2045041,1398519803799,0.17645264,-9.879608,0.59532166
1398519803643204299,2045046,1398519803804,0.12884521,-9.878418,0.5429535
1398519803648239700,2045051,1398519803809,0.13241577,-9.8927,0.5893707
1398519803653275100,2045056,1398519803814,0.15264893,-9.873657,0.5822296
1398519803658310500,2045061,1398519803819,0.17883301,-9.872467,0.4596405
1398519803663345901,2045066,1398519803824,0.15145874,-9.877228,0.52272034
1398519803668381301,2045071,1398519803829,0.14193726,-9.847473,0.5679474
1398519803673416702,2045076,1398519803835,0.11694336,-9.905792,0.53105164
1398519803678452102,2045081,1398519803840,0.15979004,-9.859375,0.54652405
1398519803683487502,2045086,1398519803845,0.14312744,-9.89151,0.42988586
1398519803688522903,2045091,1398519803850,0.11099243,-9.905792,0.48820496
1398519803693558303,2045096,1398519803855,0.15383911,-9.880798,0.5750885
1398519803698593704,2045099,1398519803858,0.13717651,-9.883179,0.4763031
1398519803703629104,2045106,1398519803865,0.14312744,-9.870087,0.4513092
1398519803708664504,2045109,1398519803868,0.1716919,-9.89151,0.43940735
1398519803713699905,2045116,1398519803875,0.14431763,-9.905792,0.57865906
1398519803718735305,2045119,1398519803878,0.1633606,-9.885559,0.45487976
1398519803723770705,2045126,1398519803885,0.120513916,-9.883179,0.552475
1398519803728806106,2045131,1398519803890,0.19311523,-9.897461,0.50367737
1398519803733841506,2045136,1398519803895,0.13955688,-9.867706,0.54652405
1398519803738876907,2045142,1398519803900,0.12884521,-9.876038,0.552475
1398519803743912307,2045147,1398519803906,0.10028076,-9.898651,0.53700256
1398519803749119697,2045151,1398519803910,0.12646484,-9.895081,0.54652405
1398519803754155098,2045157,1398519803915,0.17526245,-9.866516,0.52986145
1398519803759190498,2045162,1398519803920,0.17288208,-9.899841,0.49772644
1398519803764225899,2045166,1398519803925,0.11218262,-9.908173,0.55366516
1398519803769261299,2045172,1398519803930,0.14312744,-9.908173,0.58818054
1398519803774296699,2045178,1398519803936,0.15621948,-9.874847,0.51319885
1398519803779332100,2045181,1398519803939,0.12646484,-9.884369,0.5262909
1398519803784367500,2045186,1398519803944,0.16098022,-9.887939,0.5667572
1398519803789402901,2045190,1398519803948,0.13479614,-9.872467,0.5155792
1398519803794438301,2045197,1398519803955,0.18835449,-9.8688965,0.4846344
1398519803799473701,2045201,1398519803959,0.14193726,-9.876038,0.62745667
1398519803804509102,2045205,1398519803964,0.17050171,-9.876038,0.552475
1398519803809544502,2045211,1398519803969,0.14431763,-9.877228,0.5024872
1398519803814579902,2045221,1398519803979,0.12646484,-9.917694,0.45726013
1398519803819615303,2045221,1398519803979,0.14550781,-9.909363,0.56199646
