Creation_Time,Sensor_Time,Arrival_Time,x,y,z
2902601365000,2902601,1398519803520,-0.0981,-9.525511,-0.1962
2902610140000,2902610,1398519803529,-0.08829,-9.525511,-0.21582001
2902620139000,2902620,1398519803539,-0.13734001,-9.55494,-0.17658
2902630155000,2902630,1398519803549,-0.11772001,-9.50589,-0.20601
2902641360000,2902641,1398519803560,-0.08829,-9.5157,-0.1962
2902650187000,2902650,1398519803569,-0.10791001,-9.53532,-0.15696001
2902660248000,2902660,1398519803579,-0.0981,-9.525511,-0.20601
2902670230000,2902670,1398519803589,-0.0981,-9.525511,-0.1962
2902680261000,2902680,1398519803599,-0.13734001,-9.50589,-0.1962
2902691582000,2902691,1398519803610,-0.11772001,-9.53532,-0.18639
2902700310000,2902700,1398519803619,-0.11772001,-9.525511,-0.16677001
2902710308000,2902710,1398519803629,-0.12753001,-9.5157,-0.22563002
2902720352000,2902720,1398519803639,-0.0981,-9.50589,-0.17658
2902731630000,2902731,1398519803650,-0.11772001,-9.53532,-0.15696001
2902740380000,2902740,1398519803659,-0.10791001,-9.50589,-0.18639
2902750400000,2902750,1398519803669,-0.14715001,-9.53532,-0.18639
2902760400000,2902760,1398519803679,-0.11772001,-9.545131,-0.16677001
2902770439000,2902770,1398519803689,-0.0981,-9.53532,-0.15696001
2902781770000,2902781,1398519803701,-0.12753001,-9.53532,-0.21582001
2902790456000,2902790,1398519803709,-0.0981,-9.5157,-0.16677001
2902800503000,2902800,1398519803719,-0.12753001,-9.53532,-0.17658
2902810477000,2902810,1398519803729,-0.10791001,-9.53532,-0.18639
2902820640000,2902820,1398519803739,-0.0981,-9.486271,-0.1962
2902831787000,2902832,1398519803751,-0.10791001,-9.53532,-0.18639
2902840574000,2902840,1398519803759,-0.0981,-9.50589,-0.17658
2902850563000,2902850,1398519803769,-0.10791001,-9.525511,-0.17658
2902860575000,2902860,1398519803779,-0.0981,-9.545131,-0.15696001
2902871954000,2902872,1398519803791,-0.10791001,-9.525511,-0.16677001
2902880596000,2902880,1398519803799,-0.068670005,-9.545131,-0.16677001
2902890647000,2902890,1398519803809,-0.11772001,-9.50589,-0.18639
2902900634000,2902900,1398519803819,-0.12753001,-9.50589,-0.18639
2902910632000,2902910,1398519803829,-0.11772001,-9.49608,-0.18639
2902920871000,2902921,1398519803840,-0.10791001,-9.55494,-0.17658
2902930720000,2902930,1398519803850,-0.0981,-9.53532,-0.1962
2902940694000,2902940,1398519803859,-0.12753001,-9.5157,-0.17658
2902950722000,2902950,1398519803869,-0.10791001,-9.525511,-0.18639
2902962029000,2902962,1398519803881,-0.068670005,-9.545131,-0.18639
2902970837000,2902970,1398519803890,-0.11772001,-9.545131,-0.16677001
2902980767000,2902980,1398519803900,-0.10791001,-9.545131,-0.16677001
2902990763000,2902990,1398519803909,-0.12753001,-9.53532,-0.1962
2903000792000,2903000,1398519803919,-0.08829,-9.525511,-0.21582001
2903012021000,2903012,1398519803931,-0.08829,-9.5157,-0.18639
2903020824000,2903021,1398519803940,-0.08829,-9.49608,-0.18639
2903030836000,2903031,1398519803950,-0.10791001,-9.545131,-0.17658
2903040822000,2903041,1398519803960,-0.10791001,-9.53532,-0.16677001
2903050817000,2903051,1398519803970,-0.10791001,-9.49608,-0.16677001
2903061890000,2903062,1398519803981,-0.08829,-9.525511,-0.15696001
2903070890000,2903071,1398519803990,-0.078480005,-9.486271,-0.18639
2903080869000,2903081,1398519804000,-0.11772001,-9.53532,-0.17658
2903090876000,2903091,1398519804010,-0.11772001,-9.50589,-0.16677001
2903101859000,2903102,1398519804021,-0.08829,-9.545131,-0.16677001
2903110900000,2903111,1398519804030,-0.10791001,-9.53532,-0.18639
2903120967000,2903121,1398519804040,-0.08829,-9.50589,-0.17658
2903130932000,2903131,1398519804050,-0.04905,-9.50589,-0.18639
2903140952000,2903141,1398519804060,-0.10791001,-9.5157,-0.16677001
2903151858000,2903152,1398519804071,-0.11772001,-9.49608,-0.15696001
2903161012000,2903161,1398519804080,-0.10791001,-9.545131,-0.17658
2903170993000,2903171,1398519804090,-0.12753001,-9.5157,-0.18639
2903180998000,2903181,1398519804100,-0.078480005,-9.5157,-0.18639
2903191361000,2903191,1398519804110,-0.08829,-9.564751,-0.1962
2903201053000,2903201,1398519804120,-0.11772001,-9.5157,-0.18639
2903211096000,2903211,1398519804130,-0.14715001,-9.525511,-0.1962
2903221053000,2903221,1398519804140,-0.10791001,-9.5157,-0.1962
2903231075000,2903231,1398519804150,-0.08829,-9.53532,-0.17658
2903241872000,2903242,1398519804161,-0.12753001,-9.525511,-0.17658
2903251462000,2903251,1398519804170,-0.12753001,-9.50589,-0.17658
2903261117000,2903261,1398519804180,-0.11772001,-9.525511,-0.17658
2903271129000,2903271,1398519804190,-0.078480005,-9.50589,-0.17658
2903281146000,2903281,1398519804200,-0.14715001,-9.50589,-0.18639
2903291856000,2903292,1398519804211,-0.11772001,-9.49608,-0.17658
2903301745000,2903301,1398519804221,-0.11772001,-9.564751,-0.18639
2903311183000,2903311,1398519804230,-0.0981,-9.525511,-0.15696001
2903321192000,2903321,1398519804240,-0.08829,-9.5157,-0.18639
2903331877000,2903332,1398519804251,-0.13734001,-9.49608,-0.14715001
2903341244000,2903342,1398519804261,-0.11772001,-9.525511,-0.16677001
2903351276000,2903351,1398519804270,-0.10791001,-9.486271,-0.26487002
2903361353000,2903361,1398519804280,-0.14715001,-9.53532,-0.18639
2903371260000,2903371,1398519804290,-0.0981,-9.53532,-0.17658
2903381859000,2903382,1398519804301,-0.078480005,-9.50589,-0.17658
