Index,Arrival_Time,Creation_Time,x,y,z
0,1398519791343,1398519791343,-0.018444,-9.790279,0.005669,
10,1398519791353,1398519791353,-0.016863,-9.768332,-0.005516,
20,1398519791363,1398519791363,-0.013152,-9.783024,-0.012759,
30,1398519791373,1398519791373,-0.018527,-9.786654,-0.001691,
40,1398519791383,1398519791383,-0.009469,-9.786674,-0.012759,
50,1398519791393,1398519791393,-0.020505,-9.772027,-0.007290,
60,1398519791403,1398519791403,-0.024093,-9.779368,-0.005371,
70,1398519791413,1398519791413,-0.027653,-9.786689,0.000214,
80,1398519791423,1398519791423,-0.020382,-9.788528,-0.007160,
90,1398519791433,1398519791433,-0.016671,-9.790313,-0.001676,
100,1398519791443,1398519791443,-0.024121,-9.779389,-0.009036,
110,1398519791453,1398519791453,-0.020464,-9.771995,-0.001793,
120,1398519791463,1398519791463,-0.018815,-9.764748,-0.018359,
130,1398519791473,1398519791473,-0.005730,-9.786592,-0.001792,
140,1398519791483,1398519791483,-0.009441,-9.782964,-0.005457,
150,1398519791493,1398519791493,-0.022375,-9.779445,-0.020047,
160,1398519791503,1398519791503,-0.013125,-9.783003,-0.009094,
170,1398519791513,1398519791513,-0.004012,-9.782979,-0.012831,
180,1398519791523,1398519791523,-0.007613,-9.782955,-0.005472,
190,1398519791533,1398519791533,-0.016795,-9.788564,-0.016352,
200,1398519791543,1398519791543,-0.024147,-9.764657,0.001844,
210,1398519791553,1398519791553,-0.023983,-9.790348,-0.001619,
220,1398519791563,1398519791563,-0.024024,-9.784848,-0.001662,
230,1398519791573,1398519791573,-0.016946,-9.772083,-0.020148,
240,1398519791583,1398519791583,-0.031432,-9.764672,0.005566,
250,1398519791593,1398519791593,-0.023956,-9.786639,0.005683,
260,1398519791603,1398519791603,-0.013097,-9.782982,-0.005428,
270,1398519791613,1398519791613,-0.029590,-9.770185,0.001930,
280,1398519791623,1398519791623,-0.005840,-9.779300,-0.009180,
290,1398519791633,1398519791633,-0.020546,-9.757305,0.001757,
300,1398519791643,1398519791643,-0.014898,-9.779281,0.001888,
310,1398519791653,1398519791653,-0.029412,-9.775579,0.020300,
320,1398519791663,1398519791663,-0.016794,-9.775655,-0.003625,
330,1398519791673,1398519791673,-0.027858,-9.757341,0.001814,
340,1398519791683,1398519791683,-0.033234,-9.783102,-0.008936,
350,1398519791693,1398519791693,-0.031460,-9.772070,-0.005372,
360,1398519791703,1398519791703,-0.005799,-9.782956,-0.007319,
370,1398519791713,1398519791713,-0.009524,-9.786716,-0.020089,
380,1398519791723,1398519791723,-0.025976,-9.783109,-0.016324,
390,1398519791733,1398519791733,-0.016713,-9.794033,-0.010811,
400,1398519791743,1398519791743,-0.022155,-9.786652,0.002003,
410,1398519791753,1398519791753,-0.016725,-9.775601,0.005538,
420,1398519791763,1398519791763,-0.018581,-9.779321,-0.001749,
430,1398519791773,1398519791773,-0.024258,-9.772120,-0.020090,
440,1398519791783,1398519791783,-0.014843,-9.790303,-0.001691,
450,1398519791793,1398519791793,-0.009565,-9.783059,-0.021951,
460,1398519791803,1398519791803,-0.022320,-9.772025,-0.005443,
470,1398519791813,1398519791813,-0.014953,-9.777479,-0.003625,
480,1398519791823,1398519791823,-0.020464,-9.779371,-0.009065,
490,1398519791833,1398519791833,-0.024202,-9.764700,-0.005487,
500,1398519791843,1398519791843,-0.018596,-9.786708,-0.010854,
510,1398519791853,1398519791853,-0.015035,-9.775699,-0.012803,
520,1398519791863,1398519791863,-0.013180,-9.777513,-0.010970,
530,1398519791873,1398519791873,-0.016671,-9.792157,-0.003495,
540,1398519791883,1398519791883,-0.020355,-9.786663,-0.001677,
550,1398519791893,1398519791893,-0.022362,-9.784966,-0.023669,
560,1398519791903,1398519791903,-0.020629,-9.764746,-0.016512,
570,1398519791913,1398519791913,-0.016782,-9.790398,-0.016338,
580,1398519791923,1398519791923,-0.016713,-9.792189,-0.008992,
590,1398519791933,1398519791933,-0.029926,-9.775987,-0.008621,
600,1398519791943,1398519791943,-0.020771,-9.772243,-0.003224,
610,1398519791953,1398519791953,-0.013583,-9.777835,-0.025230,
620,1398519791963,1398519791963,-0.013336,-9.790553,-0.004970,
630,1398519791973,1398519791973,-0.020717,-9.777733,-0.001348,
640,1398519791983,1398519791983,-0.024360,-9.790649,-0.012214,
650,1398519791993,1398519791993,-0.020813,-9.774118,-0.010540,
660,1398519792003,1398519792003,-0.017102,-9.786967,-0.015966,
670,1398519792013,1398519792013,-0.018985,-9.775954,-0.012373,
680,1398519792023,1398519792023,-0.022599,-9.768563,0.000426,
690,1398519792033,1398519792033,-0.017075,-9.783257,-0.008664,
700,1398519792043,1398519792043,-0.029898,-9.779654,-0.008592,
710,1398519792053,1398519792053,-0.024372,-9.768530,0.007771,
720,1398519792063,1398519792063,-0.026201,-9.779604,-0.003123,
730,1398519792073,1398519792073,-0.020785,-9.772253,-0.005057,
740,1398519792083,1398519792083,-0.028042,-9.772246,0.002331,
750,1398519792093,1398519792093,-0.018999,-9.777809,-0.016024,
760,1398519792103,1398519792103,-0.017225,-9.764933,-0.010642,
770,1398519792113,1398519792113,-0.018944,-9.786987,-0.017784,
780,1398519792123,1398519792123,-0.009749,-9.792432,-0.015980,
790,1398519792133,1398519792133,-0.029926,-9.779675,-0.012258,
800,1398519792143,1398519792143,-0.026352,-9.776032,-0.019646,
810,1398519792153,1398519792153,-0.006134,-9.783225,-0.012416,
820,1398519792163,1398519792163,-0.038785,-9.764740,0.000126,
830,1398519792173,1398519792173,-0.024202,-9.768389,-0.009123,
840,1398519792183,1398519792183,-0.020465,-9.783060,-0.012701,
850,1398519792193,1398519792193,-0.027722,-9.783053,-0.005313,
860,1398519792203,1398519792203,-0.014994,-9.775667,-0.007305,
870,1398519792213,1398519792213,-0.020423,-9.784872,-0.009022,
